"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
500,0.5,0.25,0,"Direct",0.25,0.161163,0.161206,4.3e-05,6.4e-05,6.4e-05
500,0.5,0.25,0,"Direct",0.5,0.26445,0.264082,-0.000368,8.9e-05,8.9e-05
500,0.5,0.25,0,"Direct",0.75,0.389479,0.388554,-0.000925,0.000149,0.000149
500,0.5,0.25,0,"IST",0.25,0.161163,0.150774,-0.010389,0.000257,0.000149
500,0.5,0.25,0,"IST",0.5,0.26445,0.27373,0.00928,0.000259,0.000173
500,0.5,0.25,0,"IST",0.75,0.389479,0.411904,0.022425,0.000752,0.00025
500,0.5,0.25,0.5,"Direct",0.25,0.161163,0.161408,0.000245,6.9e-05,6.9e-05
500,0.5,0.25,0.5,"Direct",0.5,0.26445,0.26427,-0.00018,9.9e-05,9.9e-05
500,0.5,0.25,0.5,"Direct",0.75,0.389479,0.389126,-0.000353,0.000156,0.000156
500,0.5,0.25,0.5,"IST",0.25,0.161163,0.125562,-0.035601,0.001481,0.000214
500,0.5,0.25,0.5,"IST",0.5,0.26445,0.270676,0.006226,0.000304,0.000265
500,0.5,0.25,0.5,"IST",0.75,0.389479,0.433052,0.043573,0.002305,0.000407
500,0.5,0.5,-0.5,"Direct",0.25,0.161163,0.16142,0.000257,6.5e-05,6.5e-05
500,0.5,0.5,-0.5,"Direct",0.5,0.26445,0.264202,-0.000248,9.4e-05,9.4e-05
500,0.5,0.5,-0.5,"Direct",0.75,0.389479,0.388534,-0.000945,0.000127,0.000126
500,0.5,0.5,-0.5,"IST",0.25,0.161163,0.13715,-0.024013,0.000767,0.00019
500,0.5,0.5,-0.5,"IST",0.5,0.26445,0.284852,0.020402,0.000615,0.000199
500,0.5,0.5,-0.5,"IST",0.75,0.389479,0.434434,0.044955,0.002208,0.000188
500,0.5,0.5,0,"Direct",0.25,0.161163,0.1612,3.7e-05,6.2e-05,6.2e-05
500,0.5,0.5,0,"Direct",0.5,0.26445,0.264342,-0.000108,8.1e-05,8.1e-05
500,0.5,0.5,0,"Direct",0.75,0.389479,0.389142,-0.000337,0.000137,0.000137
500,0.5,0.5,0,"IST",0.25,0.161163,0.104864,-0.056299,0.003433,0.000264
500,0.5,0.5,0,"IST",0.5,0.26445,0.281454,0.017004,0.00057,0.000282
500,0.5,0.5,0,"IST",0.75,0.389479,0.464652,0.075173,0.005982,0.000332
